id,brand,colorway,estimatedMarketValue,gender,image,links,name,releaseDate,releaseYear,retailPrice,silhouette,sku,story
81fe7efa-748b-4400-9e19-3d1fd2e0ae6d,Nike,Luminous Green/Crimson Tint/Volt/Black,205,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/591/040/original/FQ8109_331.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/591/040/original/FQ8109_331.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/591/040/original/FQ8109_331.png.png'}","{'stockX': 'https://stockx.com/nike-zoomx-vaporfly-3-ekiden-pack', 'goat': 'https://goat.com/sneakers/zoomx-vaporfly-next-3-ekiden-zoom-pack-fq8109-331', 'flightClub': 'https://flightclub.com/zoomx-vaporfly-next-3-ekiden-zoom-pack-fq8109-331', 'stadiumGoods': ''}",Nike ZoomX Vaporfly 3 Ekiden Pack,2024-12-01,2024,270,ZoomX VaporFly Next% 3,FQ8109-331,
241db403-9db2-4fd0-b7bd-d92e7ce1d4c3,Nike,Black/Black/Multi/Color/Picante Red/Anthracite,98,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/094/631/969/original/FV4137_001.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/094/631/969/original/FV4137_001.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/094/631/969/original/FV4137_001.png.png'}","{'stockX': 'https://stockx.com/nike-air-zoom-gt-hustle-2-gte-greater-than-ever', 'goat': 'https://goat.com/sneakers/air-zoom-gt-hustle-2-greater-than-ever-fv4137-001', 'flightClub': 'https://flightclub.com/air-zoom-gt-hustle-2-greater-than-ever-fv4137-001', 'stadiumGoods': ''}",Nike Air Zoom GT Hustle 2 Greater Than Ever,2024-11-09,2024,180,Air Zoom GT Hustle 2,FV4137-001,"The Nike GT Hustle 2 ‘Greater Than Ever’ delivers a performance basketball shoe that takes design cues from the running shoe space. The minimalist upper is crafted from breathable black mesh with tonal iridescent overlays and a padded mid-cut collar. Accented with a crimson topline and treated to a purple iridescent finish, a lightweight Phylon midsole features full-length Zoom Air cushioning for on-court responsiveness. Underfoot, a translucent rubber outsole provides multi-directional traction."
c8776721-6a43-42d7-bc80-0d7fd6332d39,Nike,Bicoastal/Black/Metallic Silver,910,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/096/565/original/FQ3545_300.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/096/565/original/FQ3545_300.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/096/565/original/FQ3545_300.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/zoom-kobe-4-protro-bicoastal-fq3545-300', 'flightClub': 'https://flightclub.com/zoom-kobe-4-protro-bicoastal-fq3545-300', 'stadiumGoods': ''}",Zoom Kobe 4 Protro 'Girl Dad',2024-06-01,2024,190,Zoom Kobe 4,FQ3545-300,"The Nike Zoom Kobe 4 Protro ‘Girl Dad’ is a nod to the bond that Kobe Bryant shared with his daughters. A muted teal suede upper built with rolled edges is contrasted with black accents on the Swoosh, collar lining and interior tongue. A chrome-plated heel counter displays Kobe Bryant’s signature on the lateral side, while the inside tongue showcases a ‘Girl Dad’ inscription. The sneaker rides on a lightweight Phylon midsole with a springy Zoom Air unit in the heel. Underfoot, a herringbone-traction rubber outsole reveals a carbon fiber shank plate for midfoot support."
575b788a-0f67-4413-827e-7aa5f4e8b581,Nike,White/Metallic Gold/Black,90,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kobe-8-protro-ps-white-metallic-gold-fn0267-102', 'flightClub': 'https://flightclub.com/kobe-8-protro-ps-white-metallic-gold-fn0267-102', 'stadiumGoods': ''}",Kobe 8 Protro PS 'Mambacita',2024-05-01,2024,90,Kobe 8 System,FN0267-102,
74e7626e-63b6-4cce-9e61-60c3f09b348d,Nike,White/Metallic Gold/Black,120,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kobe-8-protro-gs-white-metallic-gold-fn0266-102', 'flightClub': 'https://flightclub.com/kobe-8-protro-gs-white-metallic-gold-fn0266-102', 'stadiumGoods': ''}",Kobe 8 Protro GS 'Mambacita',2024-05-01,2024,120,Kobe 8 System,FN0266-102,
aa063192-b4fd-4ad0-8b72-16fc5bca02cf,Nike,White/Metallic Gold/Black,190,men,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kobe-8-protro-white-metallic-gold-fv6325-100', 'flightClub': 'https://flightclub.com/kobe-8-protro-white-metallic-gold-fv6325-100', 'stadiumGoods': ''}",Kobe 8 Protro 'Mambacita',2024-05-01,2024,190,Kobe 8 System,FV6325-100,"The Nike Kobe 8 Protro ‘Mambacita’ pays homage to Gigi Bryant, featuring an all-over butterfly print across an upper built with off-white Engineered Mesh. An embroidered gold Swoosh adorns the lateral side, while the back heel is marked with ‘Gigi’ on the left shoe and her jersey number on the right. Performance benefits include a drop-in React foam midsole and a carbon fiber shank plate. A herringbone-traction rubber outsole provides optimal grip."
67b9c2cf-ab4c-49a3-a3b8-109f98bdfff1,Nike,Football Grey/Coconut Milk-Khaki-Flat Gold-Sail-Dragon Red,750,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/935/161/original/FN5880_001.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/935/161/original/FN5880_001.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/935/161/original/FN5880_001.png.png'}","{'stockX': 'https://stockx.com/nike-sb-dunk-low-premium-pastoral-print', 'goat': 'https://goat.com/sneakers/dunk-low-premium-sb-pastoral-print-fn5880-001', 'flightClub': 'https://flightclub.com/dunk-low-premium-sb-pastoral-print-fn5880-001', 'stadiumGoods': ''}",Nike SB Dunk Low Premium Pastoral Print,2024-04-22,2024,125,Dunk SB,FN5880-001,"The Nike Dunk Low Premium SB ‘Pastoral Print’ dons a grey canvas upper covered in bucolic graphics depicting fluffy clouds, soaring birds and leafy trees. Brown piping outlines the Swoosh, eyestay, and forefoot and heel overlay. A tan Nike SB tag adorns the stuffed tongue, while a Nike wordmark is embroidered in bronze lettering on the back tab. A solid off-white finish is applied to the rubber cupsole, featuring stitched sidewall construction and an outsole equipped with a hardwood-ready pivot circle."
0a1bb4aa-31a9-457b-a3dc-84a673552ce2,Nike,Varsity Royal/White/University Red,785,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/178/135/original/FQ3545_400.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/178/135/original/FQ3545_400.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/178/135/original/FQ3545_400.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/zoom-kobe-4-protro-philly-2024-fq3545-400', 'flightClub': 'https://flightclub.com/zoom-kobe-4-protro-philly-2024-fq3545-400', 'stadiumGoods': ''}",Zoom Kobe 4 Protro 'Philly',2024-04-13,2024,180,Zoom Kobe 4,FQ3545-400,
56d02d8b-42aa-467a-8a06-f4f55aba0e23,Nike,Stadium Grey/Metallic Silver/Tour Yellow,600,men,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': 'https://stockx.com/nike-kobe-8-protro-venice-beach-2024', 'goat': 'https://goat.com/sneakers/kobe-8-protro-venice-beach-2024-fq3549-007', 'flightClub': 'https://flightclub.com/kobe-8-protro-venice-beach-2024-fq3549-007', 'stadiumGoods': ''}",Nike Kobe 8 Protro Venice Beach (2024),2024-04-13,2024,180,Kobe 8 System,FQ3548-001,"The Nike Kobe 8 Protro ‘Venice Beach’ celebrates the vibrant culture of the Southern California city. Splashes of red, teal and yellow enliven a seamless upper built with grey Engineered Mesh. Additional pops of color arrive via a turquoise external heel counter and an orange textile collar lining. In terms of performance, the low-top is equipped with a drop-in React foam midsole and a carbon fiber shank plate. A semi-translucent rubber outsole features a herringbone traction pattern for superior grip."
598c971a-0e3d-4a56-99d7-cf70f23066b3,Nike,Stadium Grey/Metallic Silver/Tour Yellow,90,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kobe-8-protro-ps-venice-beach-fn0267-001', 'flightClub': 'https://flightclub.com/kobe-8-protro-ps-venice-beach-fn0267-001', 'stadiumGoods': ''}",Kobe 8 Protro PS 'Venice Beach',2024-04-13,2024,90,Kobe 8 System,FN0267-001,
f895b37b-4156-4134-a7ed-02f0c8f2204e,Nike,Stadium Grey/Metallic Silver/Tour Yellow,120,youth,"{'360': [], 'original': '', 'small': '', 'thumbnail': ''}","{'stockX': '', 'goat': 'https://goat.com/sneakers/kobe-8-protro-gs-venice-beach-fn0266-001', 'flightClub': 'https://flightclub.com/kobe-8-protro-gs-venice-beach-fn0266-001', 'stadiumGoods': ''}",Kobe 8 Protro GS 'Venice Beach',2024-04-13,2024,120,Kobe 8 System,FN0266-001,
43cf21ef-8dca-4c7d-9b00-a631103f82df,Nike,Navy/White-Gum Light Brown,125,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/255/225/original/FJ1674_400.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/255/225/original/FJ1674_400.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/255/225/original/FJ1674_400.png.png'}","{'stockX': 'https://stockx.com/nike-sb-dunk-low-navy-gum', 'goat': 'https://goat.com/sneakers/dunk-low-sb-navy-gum-fj1674-400', 'flightClub': 'https://flightclub.com/dunk-low-sb-navy-gum-fj1674-400', 'stadiumGoods': ''}",Nike SB Dunk Low Navy Gum,2024-04-06,2024,115,Dunk SB,FJ1674-400,
2940fa21-5931-4147-95b8-2f723874658e,Nike,Volt/Dusty Cactus/Total Orange/Concord,285,women,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/097/103/473/original/FD8315_700.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/097/103/473/original/FD8315_700.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/097/103/473/original/FD8315_700.png.png'}","{'stockX': 'https://stockx.com/nike-alphafly-3-volt-concord-womens', 'goat': 'https://goat.com/sneakers/wmns-air-zoom-alphafly-next-3-volt-fd8315-700', 'flightClub': 'https://flightclub.com/wmns-air-zoom-alphafly-next-3-volt-fd8315-700', 'stadiumGoods': ''}",Nike Alphafly 3 Volt Concord (Women's),2024-04-04,2024,285,Air Zoom Alphafly NEXT% 3,FD8315-700,
7d9d7c8f-99a7-4575-b706-152780f7f195,Nike,Volt/Dusty Cactus/Total Orange/Concord,285,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/096/856/591/original/FD8311_700.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/096/856/591/original/FD8311_700.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/096/856/591/original/FD8311_700.png.png'}","{'stockX': 'https://stockx.com/nike-alphafly-3-volt-concord', 'goat': 'https://goat.com/sneakers/air-zoom-alphafly-next-3-volt-concord-fd8311-700', 'flightClub': 'https://flightclub.com/air-zoom-alphafly-next-3-volt-concord-fd8311-700', 'stadiumGoods': ''}",Nike Alphafly 3 Volt Concord,2024-04-04,2024,285,Air Zoom Alphafly NEXT% 3,FD8311-700,
bd104230-5f79-4d01-838e-7c279c402e8c,Nike,Midnight Navy/Obsidian-Sail-Metallic Gold-Gum Medium Brown,150,men,"{'360': [], 'original': 'https://images.stockx.com/images/Nike-Air-Max-1-86-Jackie-Robinson.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316958', 'small': 'https://images.stockx.com/images/Nike-Air-Max-1-86-Jackie-Robinson.jpg?fit=fill&bg=FFFFFF&w=375&h=375&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316958', 'thumbnail': 'https://images.stockx.com/images/Nike-Air-Max-1-86-Jackie-Robinson.jpg?fit=fill&bg=FFFFFF&w=200&h=200&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1706316958'}","{'stockX': 'https://stockx.com/nike-air-max-1-86-jackie-robinson', 'goat': '', 'flightClub': '', 'stadiumGoods': ''}",Nike Air Max 1 '86 Jackie Robinson,2024-04-01,2024,150,Nike Air Max 1 '86,FZ4831-400,
7029c78a-bd87-4875-b785-df98ae454412,Nike,Black/Star Blue/Summit White/Sail,122,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/095/708/001/original/FB8883_001.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/095/708/001/original/FB8883_001.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/095/708/001/original/FB8883_001.png.png'}","{'stockX': 'https://stockx.com/nike-air-more-uptempo-96-black-star-blue', 'goat': 'https://goat.com/sneakers/air-more-uptempo-black-star-blue-fb8883-001', 'flightClub': 'https://flightclub.com/air-more-uptempo-black-star-blue-fb8883-001', 'stadiumGoods': ''}",Nike Air More Uptempo 96 Black Star Blue,2024-03-30,2024,180,Air More Uptempo,FB8883-001,
b1d0e8ab-ba88-4470-9c57-4ee6f3d9f61a,Nike,White/Hyper Royal/Pure Platinum/Black,160,men,"{'360': [], 'original': 'https://image.goat.com/attachments/product_template_pictures/images/094/562/492/original/DV1403_115.png.png', 'small': 'https://image.goat.com/750/attachments/product_template_pictures/images/094/562/492/original/DV1403_115.png.png', 'thumbnail': 'https://image.goat.com/375/attachments/product_template_pictures/images/094/562/492/original/DV1403_115.png.png'}","{'stockX': '', 'goat': 'https://goat.com/sneakers/air-max-1-86-og-golf-sport-royal-dv1403-115', 'flightClub': 'https://flightclub.com/air-max-1-86-og-golf-sport-royal-dv1403-115', 'stadiumGoods': ''}",Air Max 1 '86 OG Golf 'Big Bubble - Royal',2024-03-27,2024,160,Air Max 1,DV1403-115,"The Nike Air Max 1 ‘86 OG Golf ‘Big Bubble’ presents a course-ready version of the original ‘Royal’ AM1. The water-resistant upper features white mesh construction with synthetic suede overlays in a pale grey finish. Contrasting blue accents land on the signature Swoosh, suede mudguard, and the embroidered Nike Air branding that adorns the back heel. The white foam midsole packs a large-volume Max Air unit inspired by the Air Max 1 that initially released in 1986. Underfoot, the rubber outsole utilizes an integrated traction pattern for optimal grip."
